clearance_date,clearance_status,council_district,go_census_tract,go_district,go_highest_offense_desc,go_location,go_location_zip,go_primary_key,go_report_date,go_x_coordinate,go_y_coordinate,highest_nibrs_ucr_offense_description
12-Jan-16,C,8,19.08,D,AGG ASLT ENHANC STRANGL/SUFFOC,8600 W SH 71                                                                                        ,78735,201610188,1-Jan-16,3067322,10062796,Agg Assault
4-Jan-16,C,9,11,G,THEFT                         ,219 E 6TH ST                                                                                        ,78701,201610643,1-Jan-16,3114957,10070462,Theft
3-May-16,N,4,18.23,E,AGG ROBBERY/DEADLY WEAPON     ,701 W LONGSPUR BLVD                                                                                 ,78753,201610892,1-Jan-16,3129181,10106923,Robbery
22-Jan-16,N,9,11,G,THEFT                         ,404 COLORADO ST                                                                                     ,78701,201610893,1-Jan-16,3113643,10070357,Theft
10-Mar-16,C,4,18.33,E,SEXUAL ASSAULT W/ OBJECT      ,,78753,201611018,1-Jan-16,,,Rape
8-Jan-16,N,1,22.08,C,DEADLY CONDUCT                ,8002 TAPO LN                                                                                        ,78724,201611148,1-Jan-16,3146947,10077985,Agg Assault
1-Nov-16,N,3,23.16,H,ROBBERY BY ASSAULT            ,1601 ROYAL CREST DR                                                                                 ,78741,201611198,1-Jan-16,3118667,10060221,Robbery
1-Jan-16,C,3,23.18,H,AGG ASSAULT FAM/DATE VIOLENCE ,1600 WICKERSHAM LN                                                                                  ,78741,201611200,1-Jan-16,3122230,10059265,Agg Assault
3-Feb-16,C,5,20.04,D,AGG ASLT STRANGLE/SUFFOCATE   ,4009 VICTORY DR                                                                                     ,78704,201611224,1-Jan-16,3099793,10058337,Agg Assault
4-Feb-16,N,5,24.21,F,BURGLARY NON RESIDENCE        ,811 W SLAUGHTER LN                                                                                  ,78748,201611233,1-Jan-16,3095553,10035959,Burglary
12-Feb-16,C,4,18.2,E,BURGLARY OF RESIDENCE         ,8930 GALEWOOD DR                                                                                    ,78758,201611261,1-Jan-16,3121931,10106738,Burglary
1-Jan-16,N,4,18.33,E,AUTO THEFT                    ,9619 POINT VISTA PL                                                                                 ,78753,201611266,1-Jan-16,3133869,10103524,Auto Theft
1-Jan-16,N,2,24.11,F,AUTO THEFT                    ,4323 S IH 35 SVRD NB                                                                                ,78744,201611280,1-Jan-16,3111632,10050167,Auto Theft
4-Jan-16,N,2,24.31,F,DEADLY CONDUCT                ,5804 NEEDLE NOOK CT                                                                                 ,78744,201611298,1-Jan-16,3115830,10042476,Agg Assault
5-Jan-16,N,5,24.28,F,BURGLARY OF RESIDENCE         ,10800 RIVER PLANTATION DR                                                                           ,78747,201611311,1-Jan-16,3102916,10023485,Burglary
5-Jan-16,N,5,17.46,F,BURGLARY OF RESIDENCE         ,9409 BERNOULLI DR                                                                                   ,78748,201611329,1-Jan-16,3085304,10039671,Burglary
6-Jan-16,N,9,23.08,H,AGG ASLT STRANGLE/SUFFOCATE   ,1100 E OLTORF ST                                                                                    ,78704,201611337,1-Jan-16,3113907,10059041,Agg Assault
20-Jan-16,N,7,2.05,I,AGG ASSAULT FAM/DATE VIOLENCE ,5515 WOODROW AVE                                                                                    ,78756,201611366,1-Jan-16,3116795,10092335,Agg Assault
16-Feb-16,N,9,2.03,B,RAPE                          ,,78751,201611374,1-Jan-16,,,Rape
20-Apr-16,C,6,17.54,A,BURGLARY OF RESIDENCE         ,4400 ANDALUSIA DR                                                                                   ,78759,201611390,1-Jan-16,3114668,10121066,Burglary
5-Jan-16,N,9,13.05,D,BURGLARY OF RESIDENCE         ,2338 WILSON ST                                                                                      ,78704,201611422,1-Jan-16,3110158,10060953,Burglary
5-Jan-16,N,9,3.06,B,BURGLARY OF RESIDENCE         ,2041 ZACH SCOTT ST                                                                                  ,78723,201611424,1-Jan-16,3126322,10080484,Burglary
21-Jan-16,N,9,11,G,BURGLARY NON RESIDENCE        ,323 E 6TH ST                                                                                        ,78701,201611441,1-Jan-16,3115326,10070387,Burglary
2-Jan-16,C,4,15.03,I,SEXUAL ASSAULT W/ OBJECT      ,,78752,201611449,1-Jan-16,,,Rape
5-Jan-16,N,5,24.24,F,BURGLARY OF RESIDENCE         ,1119 ECHO LN                                                                                        ,78745,201611450,1-Jan-16,3097863,10045181,Burglary
5-Feb-16,N,5,24.07,F,BURGLARY NON RESIDENCE        ,10140 OLD SAN ANTONIO RD                                                                            ,78748,201611494,1-Jan-16,3098369,10028961,Burglary
1-Mar-16,N,3,23.12,H,BURGLARY NON RESIDENCE        ,903 MONTOPOLIS DR                                                                                   ,78741,201611547,1-Jan-16,3129173,10059178,Burglary
5-Feb-16,N,8,17.49,D,BURGLARY NON RESIDENCE        ,5100 ROADRUNNER LN                                                                                  ,78749,201611564,1-Jan-16,3086212,10058406,Burglary
14-Jan-16,N,9,11,G,BURGLARY OF VEHICLE           ,119 E 10TH ST                                                                                       ,78701,201611574,1-Jan-16,3115057,10071995,Theft
14-Jan-16,N,7,18.49,A,THEFT BY SHOPLIFTING          ,3311 ESPERANZA XING                                                                                 ,78758,201611627,1-Jan-16,3118197,10118869,Theft
2-Jan-16,N,2,24.31,F,BURGLARY OF VEHICLE           ,4749 E BEN WHITE BLVD SVRD EB                                                                       ,78744,201611703,1-Jan-16,3118931,10051193,Theft
16-Feb-16,C,5,24.21,F,THEFT                         ,9300 S IH 35 SVRD SB                                                                                ,78748,201611731,1-Jan-16,3100423,10033116,Theft
2-Jan-16,C,2,24.31,F,AUTO THEFT                    ,5200 BERYL OAK DR                                                                                   ,78744,201611742,1-Jan-16,3116496,10043740,Auto Theft
5-Jan-16,N,3,24.02,D,BURGLARY OF RESIDENCE         ,5313 HARVEST LN                                                                                     ,78745,201611768,1-Jan-16,3103835,10049115,Burglary
2-Jan-16,C,9,3.02,B,BURGLARY OF VEHICLE           ,1000 E 41ST ST                                                                                      ,78751,201611773,1-Jan-16,3121345,10082705,Theft
17-Feb-16,C,5,24.21,F,THEFT BY SHOPLIFTING          ,9500 S IH 35 SVRD SB                                                                                ,78748,201611833,1-Jan-16,3099459,10032098,Theft
6-Jan-16,N,5,24.21,F,THEFT                         ,9300 S IH 35 SVRD SB                                                                                ,78748,201611845,1-Jan-16,3100423,10033116,Theft
5-Jan-16,N,2,24.3,F,BURGLARY OF RESIDENCE         ,7600 LADYBUG ST                                                                                     ,78744,201611897,1-Jan-16,3112534,10034514,Burglary
2-Jan-16,N,4,15.03,I,AUTO THEFT                    ,702 LAMAR PL                                                                                        ,78752,201611939,1-Jan-16,3120451,10093970,Auto Theft
12-Jan-16,C,4,18.12,I,AGG ASSAULT FAM/DATE VIOLENCE ,7020 GRAND CANYON DR                                                                                ,78752,201612113,1-Jan-16,3128790,10092240,Agg Assault
5-Jan-16,N,1,18.11,I,BURGLARY OF RESIDENCE         ,1901 E ANDERSON LN SVRD EB                                                                          ,78752,201612200,1-Jan-16,3134623,10092808,Burglary
4-Jan-16,C,9,11,G,THEFT                         ,214 E 6TH ST                                                                                        ,78701,201612212,1-Jan-16,3115019,10070660,Theft
1-Jan-16,C,5,24.21,F,THEFT                         ,9300 S IH 35 SVRD SB                                                                                ,78748,201612251,1-Jan-16,3100423,10033116,Theft
6-Jan-16,C,10,17.18,B,AGG ASLT W/MOTOR VEH FAM/DAT V,7032 WOOD HOLLOW DR                                                                                 ,78731,201612349,1-Jan-16,3109999,10101357,Agg Assault
2-Jan-16,C,4,21.04,I,AUTO THEFT                    ,5820 BERKMAN DR                                                                                     ,78723,201612445,1-Jan-16,3129456,10087425,Auto Theft
2-Jan-16,C,4,18.13,I,THEFT BY SHOPLIFTING          ,1030 NORWOOD PARK BLVD                                                                              ,78753,201612601,1-Jan-16,3129997,10096983,Theft
1-Jan-16,N,7,18.5,A,THEFT OF LICENSE PLATE        ,12166 METRIC BLVD                                                                                   ,78758,20165000003,1-Jan-16,3127301,10121525,Theft
14-Jan-16,N,4,21.04,I,BURGLARY OF VEHICLE           ,1201 CLOVERLEAF DR                                                                                  ,78723,20165000008,1-Jan-16,3126104,10087499,Theft
13-Jan-16,N,9,11,G,THEFT                         ,W 4TH ST / COLORADO ST                                                                              ,78701,20165000009,1-Jan-16,3113692,10070194,Theft
27-Jan-16,N,4,18.04,E,THEFT                         ,8010 N IH 35 SVRD SB                                                                                ,78753,20165000010,1-Jan-16,3127447,10098323,Theft
5-Jan-16,N,9,11,G,THEFT                         ,406 E 6TH ST                                                                                        ,78701,20165000013,1-Jan-16,3115566,10070504,Theft
4-Jan-16,N,3,13.07,D,BURGLARY OF VEHICLE           ,3200 S 1ST ST                                                                                       ,78704,20165000015,1-Jan-16,3107452,10057904,Theft
5-Jan-16,N,9,11,G,THEFT                         ,605 DAVIS ST                                                                                        ,78701,20165000019,1-Jan-16,3115514,10067885,Theft
14-Jan-16,N,1,21.05,I,BURGLARY OF VEHICLE           ,1034 CLAYTON LN                                                                                     ,78723,20165000021,1-Jan-16,3126342,10089763,Theft
29-Mar-16,N,1,21.12,I,THEFT                         ,6855 E US 290 HWY SVRD EB                                                                           ,78723,20165000025,1-Jan-16,3131316,10090270,Theft
6-Jan-16,N,5,24.21,F,THEFT                         ,10600 WATCHFUL FOX DR                                                                               ,78748,20165000030,1-Jan-16,3092400,10030140,Theft
12-Jan-16,N,7,18.49,A,BURGLARY OF VEHICLE           ,11901 N MOPAC EXPY SVRD NB                                                                          ,78758,20165000031,1-Jan-16,3120548,10121510,Theft
