,Zipcode,Population,Median Age,Household Income,Per Capita Income
0,01001,16775,44.1,59453,28931
1,01002,27684,23.8,54395,30110
2,01003,11516,19.9,,3483
3,01005,5045,42.8,74167,33510
4,01007,14479,40.5,75502,32898
5,01008,1196,47,78563,36374
6,01009,663,40.7,46625,29190
7,01010,3582,41.8,78380,31671
8,01011,1331,46.6,55795,27671
9,01012,509,50.8,49821,30674
10,01013,22391,36.4,39502,20433
11,01020,30225,42.6,50045,26104
12,01022,2589,34.3,51512,23945
13,01026,1100,44.4,61250,29468
14,01027,17641,43.4,55959,31204
15,01028,15555,43.4,76517,34417
16,01029,577,48,63068,38466
17,01030,11633,43.8,74948,31332
18,01031,1524,38.5,47639,28801
19,01032,681,43.5,70455,28842
20,01033,6159,44.2,70771,31453
21,01034,1856,45.5,71490,33079
22,01035,5209,46.1,75313,31727
23,01036,5078,48.3,82963,38375
24,01037,819,46.1,121815,34702
25,01038,2553,46.1,62404,36322
26,01039,1470,49.9,78333,38460
27,01040,39897,36.6,33915,20370
28,01050,2656,41.7,60179,28779
29,01053,1913,50.5,69435,31175
30,01054,1756,47.9,74500,36750
31,01056,21131,42.7,60694,27644
32,01057,8492,43.6,67786,31417
33,01060,14984,33.7,47335,31875
34,01062,11027,43.2,62424,37225
35,01063,697,20.2,,2520
36,01066,0,,,
37,01068,1822,44.2,79700,31237
38,01069,8935,42.8,52957,29735
39,01070,580,52.7,61875,27567
40,01071,1619,40.9,65592,27876
41,01072,1518,43.9,65398,32450
42,01073,5758,42.8,76396,32548
43,01074,338,52.4,72650,35689
44,01075,17566,40,62329,29061
45,01077,9425,43,74721,33753
46,01079,195,42.4,39688,28768
47,01080,2527,36.1,37250,19472
48,01081,1812,43.6,60833,32398
49,01082,10175,43.4,51732,27373
50,01083,2928,39.1,44286,28055
51,01084,235,53.4,57083,29837
52,01085,40212,39.8,54042,27618
53,01086,1463,19.8,,2586
54,01088,719,59.4,27396,23260
55,01089,28320,39.6,54251,27946
56,01092,1460,36.4,58199,23688
57,01093,355,43,85417,35819
58,01094,214,61.9,16063,23950
59,01095,14183,46.9,88737,39406
60,01096,2078,45,64432,34700
61,01097,53,22.3,58125,13602
62,01098,1136,50.3,63333,33374
63,01103,2481,32.7,19244,18784
64,01104,23038,34.7,34213,17063
65,01105,13105,25.9,18064,11633
66,01106,16087,44.2,96913,50018
67,01107,11368,27,18326,12674
68,01108,24808,32.1,37084,19733
69,01109,31134,26.3,34671,14263
70,01118,13754,40.4,58735,27489
71,01119,15044,32.9,45855,19674
72,01128,2536,46.4,80313,33180
73,01129,7165,38.8,65053,28105
74,01151,8244,33.2,32518,22504
75,01199,0,,,
76,01201,46257,43,45154,26986
77,01220,8706,42.6,39234,24669
78,01222,783,39.8,45461,26763
79,01223,2358,49.6,46618,36063
80,01224,249,33.9,87625,21188
81,01225,3033,45.8,58553,34405
82,01226,6971,46.2,53900,27554
83,01229,178,39.3,65278,30747
84,01230,8697,47.3,49444,35248
85,01235,2861,45.5,62723,28822
86,01236,1323,50.3,56250,31301
87,01237,2544,41.5,67072,34853
88,01238,6209,43.4,52702,29438
89,01240,4418,51.2,54560,35596
90,01242,578,16.2,111250,18389
91,01243,249,51.9,54375,28646
92,01244,172,56.1,29688,17463
93,01245,833,57.6,48750,32777
94,01247,16213,40,39760,21085
95,01253,584,54.4,70313,51602
96,01254,1187,51.6,91250,55317
97,01255,985,46.9,60104,31746
98,01256,706,42.9,58068,27725
99,01257,2138,50.9,58317,42256
100,01258,262,54,60625,35645
101,01259,516,50.7,68462,38672
102,01260,73,60.5,70313,48093
103,01262,1040,46.9,32456,29426
104,01264,138,67.1,73125,59002
105,01266,1686,50,75217,37304
106,01267,8035,43.3,73414,39314
107,01270,798,47.5,74412,32654
108,01301,17822,42.5,46138,26332
109,01330,1574,46.1,66429,33897
110,01331,13456,38.9,53274,24957
111,01337,2569,45.4,55556,28634
112,01338,245,45.6,90865,33481
113,01339,1441,48.6,48542,28829
114,01340,1734,44.3,53938,29055
115,01341,1753,46.2,81042,33473
116,01342,1234,44.5,71804,33230
117,01343,113,23,43125,22295
118,01344,1454,38,55078,23491
119,01346,395,50.9,69688,31109
120,01347,74,51.4,28839,11534
121,01349,980,41.1,51136,25891
122,01350,122,44.3,30714,22647
123,01351,2407,48.3,49167,30392
124,01354,1428,49.5,59800,31288
125,01355,843,46,64167,30361
126,01360,3034,47,61667,31001
127,01364,7942,41,44801,22980
128,01366,1335,48.3,69167,28648
129,01367,450,56.1,48542,27586
130,01368,1058,46,59609,32031
131,01370,4362,45.6,61594,29437
132,01373,4770,45.6,66393,32796
133,01375,3696,30.5,54208,31090
134,01376,5329,41.2,36843,22307
135,01378,601,49.5,59531,29135
136,01379,1042,48.2,57375,28640
137,01420,40309,34.3,48010,24060
138,01430,6033,38.9,81842,32880
139,01431,3030,43.1,82614,32434
140,01432,6945,41.4,54778,33303
141,01434,1607,39.3,100288,13612
142,01436,3320,40.1,66875,25265
143,01438,379,48.2,52426,41121
144,01440,20479,39.5,48174,24919
145,01450,10478,42.2,117903,47003
146,01451,4711,45.5,140223,61030
147,01452,4341,42.4,83333,32618
148,01453,41069,39.9,58899,28419
149,01460,8810,43.3,103438,41815
150,01462,10034,42,83265,35868
151,01463,11407,40.6,84618,37081
152,01464,7235,38.9,71146,24427
153,01467,590,37.9,162981,45640
154,01468,4055,41.3,79464,27151
155,01469,6669,38.9,79219,32075
156,01473,7250,43.1,78632,31391
157,01474,2237,40.9,68875,28594
158,01475,10250,41.2,58137,25845
159,01501,16025,44,74195,33428
160,01503,2819,46.2,94712,41503
161,01504,9028,41.6,73586,32988
162,01505,4320,44.2,91734,52129
163,01506,3363,43.9,62390,29392
164,01507,12827,39.5,91653,33250
165,01510,13614,38.4,61796,30563
166,01515,2058,41.1,62350,29416
167,01516,8372,39.3,80464,35915
168,01518,2972,34.8,83207,34429
169,01519,6431,37.1,105236,44024
170,01520,14156,41.3,94978,39424
171,01521,2595,42.4,69565,29835
172,01522,3041,41.5,81571,34989
173,01523,7329,39,89731,35640
174,01524,6841,39.2,72421,30321
175,01525,203,48.1,44148,39465
176,01527,13216,41.7,77865,33349
177,01529,3154,39.9,73426,29049
178,01531,1124,39.7,88571,32568
179,01532,14180,40.4,104420,47953
180,01534,5142,37.5,91042,34727
181,01535,4686,40.7,64009,30106
182,01536,7063,38.3,89385,37885
183,01537,2312,41.9,71261,37425
184,01540,11377,39.1,66794,28677
185,01541,3412,44.4,108319,43836
186,01542,1744,45.2,73358,31177
187,01543,7812,39.4,83734,30961
188,01545,35146,38.8,89079,38294
189,01550,16800,36.6,43965,21923
190,01560,4073,31.7,69261,34472
191,01561,359,42.4,35227,15247
192,01562,11715,40.5,59420,29687
193,01564,7768,42.8,102270,44089
194,01566,6161,42.8,78088,38952
195,01568,7281,42.4,106397,43188
196,01569,13171,40.7,87192,34381
197,01570,16752,40.5,49621,27430
198,01571,11276,35.8,72500,27319
199,01581,18285,38.5,99394,46631
200,01583,7600,40.2,75099,28540
201,01585,4448,47.4,60179,31002
202,01588,10262,39.2,61225,28936
203,01590,8808,41.6,109130,43319
204,01602,22353,41.5,59964,30601
205,01603,18858,37,44165,22061
206,01604,35564,36.1,51363,26412
207,01605,25895,34,36051,21464
208,01606,20283,39.5,60234,30775
209,01607,8425,35.2,45510,25805
210,01608,3961,25.8,17467,12488
211,01609,21346,28.6,41935,29125
212,01610,24114,23.2,30359,13836
213,01611,2362,38.5,65764,29568
214,01612,4767,43.5,105072,37328
215,01701,30895,42.8,87643,40729
216,01702,36996,33,53069,27802
217,01718,563,36.6,93542,42714
218,01719,4957,42.1,103918,51159
219,01720,20897,40.9,108981,49523
220,01721,16305,40.9,93770,46626
221,01730,13297,43.3,103529,48943
222,01731,1883,17.5,82083,23581
223,01740,4827,42.9,137120,52282
224,01741,4814,44.4,159063,68060
225,01742,17719,46.4,128415,67490
226,01745,378,44.5,104659,36187
227,01746,13512,43.9,107374,47624
228,01747,5909,42,98220,40422
229,01748,14691,39.8,126350,56939
230,01749,18845,41,76714,36141
231,01752,38087,39.1,72853,37314
232,01754,10083,41.9,77255,36818
233,01756,5787,42.1,93245,40523
234,01757,28008,37.8,64955,32268
235,01760,32559,41,90046,48848
236,01770,4102,44.6,152083,70983
237,01772,9293,42.2,144634,58301
238,01773,4701,47,149890,70351
239,01775,6488,42.3,112130,48448
240,01776,17482,41.8,159713,63862
241,01778,13062,46.3,125038,70350
242,01801,38252,39.3,73010,33924
243,01803,23998,40.9,91268,40081
244,01810,32945,43.1,113936,52404
245,01821,30168,38.2,88188,33849
246,01824,24934,43.5,99040,44114
247,01826,29213,40.3,71824,31515
248,01827,3128,40.8,109205,41937
249,01830,25062,39.3,56094,29775
250,01832,21934,37.2,58336,28919
251,01833,8083,40.6,106765,42683
252,01834,6401,43.4,91080,37173
253,01835,13548,37.5,73711,34732
254,01840,4432,35.4,17828,14494
255,01841,47741,29.3,30415,15197
256,01843,23686,33.2,43163,21256
257,01844,46687,39.6,65860,29838
258,01845,28156,39.9,95199,47092
259,01850,16170,31.5,51379,21748
260,01851,29726,33.7,53489,22782
261,01852,32664,35.1,51452,26688
262,01854,27336,30.9,49561,21924
263,01860,6297,42.6,76936,36643
264,01862,10145,41.1,86630,31753
265,01863,8676,42.3,75969,37996
266,01864,14703,40.6,104069,42256
267,01867,24083,41.1,98939,44828
268,01876,28395,42,87598,36588
269,01879,11198,40.4,101103,38067
270,01880,24699,41.7,86440,40283
271,01886,21716,41.5,119511,47587
272,01887,22116,41.2,100861,37084
273,01890,21205,43.3,127665,65172
274,01901,1832,42.1,21886,19576
275,01902,44991,33.4,36966,20012
276,01904,19076,41.3,74448,30137
277,01905,24071,33.2,43686,20105
278,01906,26516,42.8,75258,34076
279,01907,13974,44.5,90289,47810
280,01908,3420,49.2,77243,51308
281,01913,16267,40.5,79293,41142
282,01915,39455,40.3,67733,36889
283,01921,7950,44.4,137159,67601
284,01922,3062,42.4,115500,39615
285,01923,26265,43.7,78593,39064
286,01929,3470,47.3,79492,40213
287,01930,28869,47.3,59061,35080
288,01937,38,81.5,,41113
289,01938,13127,45.4,84609,42494
290,01940,11793,43.8,98426,45143
291,01944,5137,45.8,114639,69930
292,01945,19811,44.4,99574,55778
293,01949,8839,41.4,93415,36194
294,01950,17370,44.6,80861,46327
295,01951,3585,47.7,68958,48393
296,01952,8212,45.6,68194,34755
297,01960,50674,43.9,65432,32329
298,01966,7021,51.8,71447,43201
299,01969,5815,45.7,79449,38592
300,01970,41051,36.8,56203,30993
301,01982,7809,37.4,103774,38157
302,01983,6075,43.8,116122,50689
303,01984,4831,28.6,139856,55054
304,01985,4222,43.6,104931,52882
305,02019,16165,38.4,83534,33170
306,02021,21408,41,90951,45991
307,02025,7483,43.1,117831,59891
308,02026,24521,43,83364,41143
309,02030,5564,43.5,184646,82800
310,02032,3709,40.1,74940,37797
311,02035,16734,40.6,92370,42236
312,02038,31317,37,92066,39043
313,02043,21916,43,99318,56671
314,02045,10391,46.5,72036,43290
315,02047,171,79,31676,41468
316,02048,23094,36.6,98182,39792
317,02050,25360,41.4,93231,42210
318,02052,12004,41.6,128446,56905
319,02053,12670,41,106058,44472
320,02054,7852,41.8,90360,39344
321,02056,10994,41,118809,43057
322,02061,10430,43,109167,48440
323,02062,28483,41.8,73838,35997
324,02066,17643,44.6,91573,47344
325,02067,17341,42.5,121672,53729
326,02071,1831,41,127614,28409
327,02072,27008,43.2,68474,32384
328,02081,18561,43.6,91653,46489
329,02090,14508,42.9,120078,59422
330,02093,10879,43,100938,47119
331,02108,3923,36.7,92863,73576
332,02109,4042,36.2,127131,91592
333,02110,1586,54.5,121780,121008
334,02111,6995,33.7,31984,51342
335,02113,6768,28,57566,47831
336,02114,11882,31.1,81194,65569
337,02115,29413,22,26552,23109
338,02116,20689,34.5,85419,81128
339,02118,27113,33.6,47920,43214
340,02119,24166,30.9,29955,19104
341,02120,12691,23.2,32648,16927
342,02121,24972,30.3,30008,18187
343,02122,24761,32,51911,23666
344,02124,48384,33.1,44730,22095
345,02125,31503,30.7,41507,22757
346,02126,26719,36,45605,21721
347,02127,31954,31.8,66480,40542
348,02128,41128,32.8,45614,22403
349,02129,16685,34.7,87633,58566
350,02130,35323,34.5,69955,43469
351,02131,30914,36.6,59790,27904
352,02132,26813,42.4,78631,41824
353,02134,20183,26.6,37487,25315
354,02135,40493,28.9,51937,32723
355,02136,29082,35.6,56196,27554
356,02138,34301,29.9,73258,54683
357,02139,35994,30.2,66495,39875
358,02140,18398,35.8,70455,45656
359,02141,12716,32.5,63516,39200
360,02142,2902,29.1,82460,61301
361,02143,24652,31,66627,35935
362,02144,24338,29.9,73162,37442
363,02145,24061,32.9,53651,27520
364,02148,58826,36.4,52825,26894
365,02149,41074,35.6,48343,24573
366,02150,34872,32.2,43155,20214
367,02151,50845,38.2,50592,25085
368,02152,17430,42.6,61744,36624
369,02155,58211,35.3,72018,33346
370,02163,1664,21.4,41386,19769
371,02169,53270,37.7,58049,32787
372,02170,19889,39.6,63552,30325
373,02171,18325,40.5,64497,36076
374,02176,26864,41,84599,39873
375,02180,21413,43.7,77476,37573
376,02184,35409,40.5,83710,37317
377,02186,26828,38.8,104713,44718
378,02188,14233,41.1,65977,37174
379,02189,14350,40.9,62836,31755
380,02190,16308,41,78509,40395
381,02191,8674,44.7,64653,32459
382,02199,1218,35.4,95938,147754
383,02203,0,,,
384,02210,1658,33.6,125769,101387
385,02215,23933,21.7,31448,20513
386,02301,60850,35.4,45728,21629
387,02302,33066,34.8,62085,23571
388,02322,4341,43.6,72880,31304
389,02324,26508,37,88697,29460
390,02330,11481,42.4,70608,29176
391,02332,14978,43.9,122396,55510
392,02333,13704,41.8,79676,31802
393,02338,7516,43.7,83522,34880
394,02339,13813,40.2,100982,39631
395,02341,10180,40.6,87222,32812
396,02343,10527,42.1,63245,30279
397,02346,22807,40.8,73490,31179
398,02347,10533,41.8,93260,35010
399,02351,15841,39.3,81677,33386
400,02356,13043,38.3,103494,42208
401,02357,1011,19.7,,6702
402,02359,17708,40.3,82374,35262
403,02360,55865,41.3,76631,33969
404,02364,12556,42.3,77288,37783
405,02366,146,40,,3918
406,02367,2799,43.9,93882,37755
407,02368,32089,40.4,64696,29104
408,02370,17515,40.3,63896,30325
409,02375,9007,41.8,79595,39902
410,02379,6896,42.4,80729,33590
411,02382,14430,37.7,74610,31378
412,02420,13831,47.1,146667,68387
413,02421,17298,44.9,130592,66942
414,02445,21110,37.2,108313,67769
415,02446,28601,33.3,79278,56132
416,02451,16662,40.3,75129,41312
417,02452,14318,30.4,69621,30050
418,02453,29229,32,63123,31183
419,02457,1278,20.3,250001,5963
420,02458,11048,40.4,84375,54353
421,02459,18244,42.2,130313,65892
422,02460,9080,39.9,103264,59697
423,02461,6923,40.3,115582,58639
424,02462,1453,52.3,81875,85860
425,02464,2834,39.5,79712,44426
426,02465,11759,42.2,116429,65909
427,02466,8338,36.6,110242,51182
428,02467,21952,24.1,114140,55947
429,02468,4897,48.9,201065,90800
430,02472,32025,38.6,77016,41095
431,02474,26433,40.6,82359,45613
432,02476,16137,43,90625,50778
433,02478,24473,41.4,99596,54409
434,02481,16021,36,171750,72170
435,02482,10519,42.2,121905,62295
436,02492,19901,42.1,129769,64415
437,02493,11229,42.9,180815,96475
438,02494,8885,42.8,103946,53261
439,02532,11698,43.7,56939,32945
440,02534,895,58.5,64052,37611
441,02535,1267,40.3,62955,37965
442,02536,19864,47.2,61078,32313
443,02537,6181,43.6,82891,35273
444,02538,3451,37.6,62813,25974
445,02539,4034,43.5,74214,38083
446,02540,8355,57.5,54732,45833
447,02542,1237,23.2,37299,14688
448,02543,613,61.2,95833,113377
449,02553,275,29.4,86667,37769
450,02554,9914,38.9,85393,51522
451,02556,2880,58.2,75815,42019
452,02557,4449,41.9,78890,29117
453,02558,1363,50.6,42606,23810
454,02559,3772,53,61786,32972
455,02561,443,49.1,42132,29378
456,02562,3403,44.3,71386,31245
457,02563,10285,45.7,81094,38951
458,02564,221,44.2,65461,48511
459,02568,3999,47.6,55121,30045
460,02571,11535,44.3,53496,28346
461,02575,2421,42.3,75603,35754
462,02576,3492,46.5,64129,31410
463,02584,0,,,
464,02601,13442,40.8,43442,24587
465,02630,1706,59.3,62109,42117
466,02631,9734,53.4,58518,33952
467,02632,11491,48.9,68473,34671
468,02633,4298,56.5,71020,52275
469,02635,3464,45.6,80779,51884
470,02637,105,56.7,97794,38545
471,02638,3378,56.4,61029,41097
472,02639,3368,43.8,45900,26996
473,02641,532,66,84107,46977
474,02642,5011,56.6,56029,35352
475,02643,9,,,
476,02644,3934,38.4,85433,30288
477,02645,9440,48.6,58611,31301
478,02646,1771,61.5,52188,40580
479,02647,125,62.4,91771,52029
480,02648,7633,46.1,69355,38993
481,02649,13900,46.7,62763,33492
482,02650,884,56.3,64635,68004
483,02651,0,,,
484,02652,1407,50.5,49063,32555
485,02653,6001,62.1,62651,42927
486,02655,3638,55.8,74643,53064
487,02657,2994,51.8,46547,41488
488,02659,915,59.3,60750,35098
489,02660,5881,50.8,49945,28222
490,02663,49,,,
491,02664,9295,52.1,48125,32877
492,02666,496,60.9,99464,60564
493,02667,2809,60.3,59892,47889
494,02668,3414,44.7,72953,40573
495,02669,80,67.7,81125,56724
496,02670,1233,60.4,44250,32138
497,02671,1103,58.2,53547,47014
498,02672,109,74.9,29415,26687
499,02673,8793,47.1,45314,29121
500,02675,6190,58.5,63968,40962
501,02702,4090,41.5,91326,32561
502,02703,43459,38.4,65298,30398
503,02713,145,60.8,60417,29534
504,02715,2747,44.1,91632,31970
505,02717,4738,43,78599,32330
506,02718,6919,36.6,81797,29602
507,02719,15915,44.3,60179,28658
508,02720,31341,39.9,46287,24961
509,02721,25660,35.1,30610,19235
510,02723,14753,37.1,30143,18574
511,02724,16882,40.1,29253,18691
512,02725,2779,47.6,68125,26918
513,02726,15393,43.7,70302,32585
514,02738,4926,46.2,87793,43383
