,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
0,01001,17423.0,45.0,56714.0,30430.0,1462.0
1,01002,29970.0,23.2,48923.0,26072.0,8351.0
2,01003,11296.0,19.9,2499.0,3829.0,54.0
3,01005,5228.0,44.1,70568.0,32169.0,230.0
4,01007,14888.0,42.5,80502.0,36359.0,1410.0
5,01008,1194.0,48.5,67250.0,34505.0,49.0
6,01009,237.0,62.2,-666666666.0,26150.0,105.0
7,01010,3718.0,46.6,83273.0,38693.0,95.0
8,01011,1523.0,41.0,74722.0,29951.0,110.0
9,01012,528.0,50.5,60417.0,34032.0,60.0
10,01013,22943.0,35.0,40876.0,21677.0,4233.0
11,01020,30629.0,44.5,57851.0,29705.0,3166.0
12,01022,2528.0,41.1,44701.0,26605.0,644.0
13,01026,1018.0,51.2,50924.0,28269.0,45.0
14,01027,17872.0,45.1,61217.0,33598.0,1774.0
15,01028,16063.0,46.0,83003.0,39282.0,677.0
16,01029,760.0,47.9,54375.0,32415.0,96.0
17,01030,11278.0,44.9,64874.0,32812.0,1124.0
18,01031,1192.0,43.2,39327.0,26153.0,268.0
19,01032,590.0,49.3,73750.0,36045.0,15.0
20,01033,6310.0,45.5,86951.0,39115.0,290.0
21,01034,2323.0,46.6,82159.0,32783.0,230.0
22,01035,5338.0,46.3,62634.0,40287.0,384.0
23,01036,5190.0,48.7,80375.0,38547.0,256.0
24,01037,755.0,50.3,80417.0,33913.0,86.0
25,01038,2853.0,50.7,65887.0,35804.0,157.0
26,01039,1194.0,54.0,74107.0,43845.0,78.0
27,01040,40280.0,34.4,38829.0,21897.0,11227.0
28,01050,2343.0,45.7,72386.0,29854.0,221.0
29,01053,1697.0,49.8,66528.0,30391.0,251.0
30,01054,1972.0,48.0,86771.0,45344.0,84.0
31,01056,21352.0,44.2,64537.0,31897.0,1124.0
32,01057,8773.0,45.5,74439.0,33763.0,496.0
33,01060,15407.0,35.0,56128.0,35487.0,2258.0
34,01062,10867.0,43.8,73913.0,39024.0,1445.0
35,01063,563.0,20.3,-666666666.0,3134.0,0.0
36,01066,12.0,-666666666.0,-666666666.0,,0.0
37,01068,1825.0,45.0,85052.0,34288.0,62.0
38,01069,8753.0,44.0,57994.0,30199.0,591.0
39,01070,562.0,52.7,55208.0,30773.0,60.0
40,01071,1271.0,47.9,70938.0,34924.0,17.0
41,01072,1542.0,46.8,75658.0,36704.0,187.0
42,01073,6081.0,48.4,90318.0,44278.0,251.0
43,01074,228.0,35.2,-666666666.0,16890.0,0.0
44,01075,17770.0,40.8,61821.0,30822.0,1524.0
45,01077,9650.0,45.7,76576.0,36861.0,554.0
46,01079,811.0,42.8,31778.0,24201.0,74.0
47,01080,2452.0,33.5,51023.0,23489.0,773.0
48,01081,1823.0,43.5,51182.0,25679.0,100.0
49,01082,10612.0,43.2,52178.0,27773.0,1434.0
50,01083,3148.0,36.3,45954.0,22559.0,245.0
51,01084,154.0,61.5,68750.0,50727.0,0.0
52,01085,41479.0,39.0,63283.0,29597.0,3679.0
53,01086,690.0,19.2,-666666666.0,3293.0,0.0
54,01088,433.0,53.1,61875.0,34560.0,33.0
55,01089,28575.0,39.1,50649.0,28438.0,3733.0
56,01092,1191.0,46.8,77150.0,40211.0,176.0
57,01093,289.0,54.1,84167.0,48793.0,16.0
